date,PMI,New Orders,Inventories,Employment
2013-01-31,53.1,53.3,51.0,50.6
2013-02-28,54.2,57.8,52.0,52.6
2013-03-31,51.3,51.4,51.5,52.5
2013-04-30,50.7,52.3,51.5,50.3
2013-05-31,49.0,48.8,51.0,50.1
2013-06-30,50.9,51.9,50.5,52.3
2013-07-31,55.4,58.3,52.0,54.5
2013-08-31,55.7,58.4,53.5,53.3
2013-09-30,56.2,60.5,53.0,55.4
2013-10-31,56.4,60.6,53.0,53.2
2013-11-30,57.3,63.6,52.5,56.2
2013-12-31,57.0,64.4,53.0,52.0
2014-01-31,51.3,54.0,50.0,52.3
2014-02-28,53.2,54.5,51.5,52.3
2014-03-31,53.7,55.1,52.0,54.7
2014-04-30,54.9,55.1,52.0,54.7
2014-05-31,55.4,56.9,53.5,55.4
2014-06-30,55.3,58.1,53.5,54.2
2014-07-31,57.1,61.1,54.5,58.2
2014-08-31,59.0,63.0,54.5,58.1
2014-09-30,56.6,60.0,53.5,54.6
2014-10-31,59.0,60.0,53.0,55.5
2014-11-30,58.7,61.5,52.5,56.4
2014-12-31,55.5,57.1,51.0,56.8
2015-01-31,53.5,52.9,53.5,54.1
2015-02-28,52.9,52.5,53.5,51.4
2015-03-31,51.5,51.8,53.0,50.0
2015-04-30,51.5,53.5,52.0,48.3
2015-05-31,52.8,55.8,52.0,51.7
2015-06-30,53.5,56.0,52.0,55.5
2015-07-31,52.7,56.5,52.5,52.2
2015-08-31,51.1,51.7,50.0,50.5
2015-09-30,50.2,50.1,50.0,50.1
2015-10-31,50.1,52.9,50.0,47.6
2015-11-30,48.6,48.9,49.5,51.3
2015-12-31,48.2,49.2,47.5,48.2
2016-01-31,48.2,47.3,46.5,45.9
2016-02-29,49.5,51.5,46.5,48.5
2016-03-31,51.8,58.3,47.0,48.1
2016-04-30,50.8,55.8,49.5,49.2
2016-05-31,51.3,55.7,48.5,49.2
2016-06-30,53.2,57.0,48.5,50.4
2016-07-31,52.6,56.9,51.5,49.4
2016-08-31,49.4,49.1,49.0,48.3
2016-09-30,51.5,55.1,50.5,49.7
2016-10-31,51.9,52.1,50.5,52.9
2016-11-30,53.2,53.5,52.5,52.3
2016-12-31,54.7,60.1,52.5,53.2
2017-01-31,56.0,60.4,51.5,56.1
2017-02-28,57.7,65.1,51.0,57.2
2017-03-31,57.2,64.5,49.5,58.9
2017-04-30,54.8,57.5,50.5,58.0
2017-05-31,54.9,59.5,50.0,55.5
2017-06-30,57.8,63.5,50.0,57.6
2017-07-31,56.3,60.4,50.5,55.2
2017-08-31,58.8,60.3,52.5,59.5
2017-09-30,60.8,64.6,53.5,60.3
2017-10-31,58.7,63.4,52.5,59.8
2017-11-30,58.2,64.0,51.5,59.7
2017-12-31,59.7,67.4,52.0,57.8
2018-01-31,59.1,67.3,52.5,54.2
2018-02-28,60.8,64.2,52.0,59.0
2018-03-31,59.3,61.9,52.5,57.3
2018-04-30,57.3,61.2,50.5,54.2
2018-05-31,58.7,63.2,52.0,56.2
2018-06-30,60.2,63.5,52.5,56.0
2018-07-31,58.1,60.2,53.0,56.5
2018-08-31,61.3,65.1,55.0,58.5
2018-09-30,59.8,61.8,53.5,58.8
2018-10-31,57.7,57.4,52.5,56.4
2018-11-30,59.3,62.1,52.0,58.4
2018-12-31,54.1,51.1,51.2,56.2
2019-01-31,56.6,58.2,52.5,55.5
2019-02-28,54.2,55.5,52.3,52.9
2019-03-31,55.3,57.4,51.8,57.5
2019-04-30,52.8,51.7,53.0,52.4
2019-05-31,52.1,52.7,50.9,53.7
2019-06-30,51.7,50.0,49.3,54.5
2019-07-31,51.2,50.4,49.0,51.7
2019-08-31,49.1,47.2,46.9,47.4
2019-09-30,47.8,47.3,46.8,46.3
2019-10-31,48.3,49.1,48.9,47.7
2019-11-30,48.1,46.8,48.0,42.1
2019-12-31,47.2,46.8,46.5,45.1
2020-01-31,50.9,52.0,48.8,46.6
2020-02-29,50.1,49.8,46.5,46.9
2020-03-31,49.1,42.2,46.9,43.8
2020-04-30,41.5,27.1,46.0,27.5
2020-05-31,43.1,31.8,39.0,32.1
2020-06-30,52.6,56.4,41.4,42.5
2020-07-31,54.2,61.5,45.9,44.3
2020-08-31,56.0,67.6,44.4,46.4
2020-09-30,55.4,60.2,48.5,49.6
2020-10-31,59.3,67.9,51.9,53.2
2020-11-30,57.5,65.1,51.2,52.3
2020-12-31,60.7,67.5,51.6,51.5
2021-01-31,58.7,61.1,50.8,52.6
2021-02-28,60.8,64.8,49.7,54.4
2021-03-31,64.7,68.0,50.0,59.6
2021-04-30,60.7,68.2,48.5,55.1
2021-05-31,61.2,67.0,50.0,50.9
2021-06-30,60.6,66.0,48.0,49.9
2021-07-31,59.5,64.9,48.9,52.9
2021-08-31,59.9,66.7,52.0,49.0
2021-09-30,61.1,66.7,55.6,50.2
2021-10-31,60.8,59.8,57.0,52.0
2021-11-30,61.1,61.5,56.7,53.3
2021-12-31,58.7,54.9,54.7,54.2
2022-01-31,57.6,57.9,53.4,54.5
2022-02-28,58.6,61.7,53.6,52.9
2022-03-31,57.1,53.8,55.5,56.3
2022-04-30,55.4,53.5,55.0,50.9
2022-05-31,56.1,55.1,57.0,49.6
2022-06-30,53.0,49.2,56.0,47.3
2022-07-31,52.8,48.0,57.3,49.9
2022-08-31,52.8,51.3,55.1,51.8
2022-09-30,50.9,47.1,55.5,48.7
2022-10-31,50.2,49.9,52.5,50.0
2022-11-30,49.0,47.2,50.9,48.4
2022-12-31,48.4,45.1,49.4,51.4
2023-01-31,47.4,42.5,50.2,50.6
2023-02-28,47.7,47.0,50.1,49.8
2023-03-31,46.3,44.3,47.9,46.9
2023-04-30,47.1,45.3,46.3,50.2
2023-05-31,46.9,45.6,45.6,51.4
2023-06-30,46.0,45.6,44.0,48.1
2023-07-31,46.4,47.3,44.8,44.4
2023-08-31,47.6,46.8,43.5,48.5
2023-09-30,49.0,52.5,45.8,51.2
2023-10-31,46.7,45.5,44.8,46.8
2023-11-30,46.7,48.3,44.5,45.8
2023-12-31,47.4,47.1,44.5,48.1
2024-01-31,49.1,52.5,44.7,47.1
2024-02-29,47.8,49.2,45.3,45.7
2024-03-31,50.3,51.4,46.0,47.4
2024-04-30,49.2,49.1,48.0,48.6
2024-05-31,48.7,45.4,47.9,51.1
2024-06-30,48.5,49.3,47.1,49.3
2024-07-31,46.8,47.4,44.5,43.4
2024-08-31,47.2,44.6,50.3,46.0
2024-09-30,47.2,46.1,43.2,43.9
2024-10-31,46.5,47.1,44.1,44.4
2024-11-30,48.4,50.4,48.7,48.1
2024-12-31,49.3,52.1,48.4,45.4
2025-01-31,50.9,55.1,45.9,50.3
2025-02-28,50.3,48.6,49.5,47.6
2025-03-31,49.0,45.2,53.4,44.7
2025-04-30,48.7,47.2,53.1,46.5
2025-05-31,48.7,47.6,51.6,46.4
2025-06-30,49.8,50.8,52.6,46.3
2025-07-31,48.0,47.1,48.9,43.4
2025-08-31,48.7,51.4,49.4,43.8
2025-09-30,49.1,48.9,47.7,45.3
2025-10-31,48.7,49.4,45.8,46.0
2025-11-30,48.2,47.4,48.9,44.0
2025-12-31,47.9,47.7,45.2,44.9
2026-01-31,52.6,57.1,47.6,48.1
2026-02-28,52.4,55.8,48.8,48.8
2026-03-31,52.7,53.5,47.1,48.7
2026-04-30,52.7,54.1,49.0,46.4
2026-05-31,54.0,56.8,49.9,48.6
2026-06-30,53.3,56.0,51.4,49.7
2026-07-31,55.6,56.7,51.2,52.8
2026-08-31,54.6,53.7,50.6,51.2
